year,region,week,production_tons
1984,Texas,18,770255
1984,US Total,18,17653500
1984,Utah,18,267185
1984,Virginia,18,790132
1984,Washington,18,76473
1984,West of Mississippi,18,5145115
1984,West_Virginia,18,3014125
1984,Western,18,4139153
1984,Wyoming,18,2017230
1984,Alabama,19,443170
1984,Alaska,19,14059
1984,Appalachia,19,8300356
1984,Arizona,19,230638
1984,Arkansas,19,2756
1984,Colorado,19,370445
1984,East of Mississippi,19,10947522
1984,Georgia,19,3200
1984,Illinois,19,1320379
1984,Indiana,19,692935
1984,Interior,19,3591084
1984,Iowa,19,8166
1984,Kansas,19,26102
1984,Kentucky-East,19,1991816
1984,Kentucky-Total,19,2625668
1984,Kentucky-West,19,633852
1984,Maryland,19,102406
1984,Missouri,19,98331
1984,Montana,19,487739
1984,New_Mexico,19,485871
1984,North_Dakota,19,319849
1984,Ohio,19,759495
1984,Oklahoma,19,93053
1984,Penn-Anthracite,19,80102
1984,Penn-Bituminous,19,1557602
1984,Penn-Total,19,1637704
1984,Tennessee,19,118608
1984,Texas,19,715510
1984,US Total,19,16302422
1984,Utah,19,242735
1984,Virginia,19,642464
1984,Washington,19,71037
1984,West of Mississippi,19,5354900
1984,West_Virginia,19,2601493
1984,Western,19,4410982
1984,Wyoming,19,2188609
1984,Alabama,20,566039
1984,Alaska,20,15609
1984,Appalachia,20,10099211
1984,Arizona,20,256052
1984,Arkansas,20,1974
1984,Colorado,20,231161
1984,East of Mississippi,20,13005897
1984,Georgia,20,3552
1984,Illinois,20,1218614
1984,Indiana,20,822470
1984,Interior,20,3961200
1984,Iowa,20,9065
1984,Kansas,20,25451
1984,Kentucky-East,20,2720071
1984,Kentucky-Total,20,3585673
1984,Kentucky-West,20,865602
1984,Maryland,20,100265
1984,Missouri,20,136852
1984,Montana,20,475559
1984,New_Mexico,20,401625
1984,North_Dakota,20,313807
1984,Ohio,20,853059
1984,Oklahoma,20,86820
1984,Penn-Anthracite,20,88928
1984,Penn-Bituminous,20,1612970
1984,Penn-Total,20,1701898
1984,Tennessee,20,148645
1984,Texas,20,794352
1984,US Total,20,18182205
1984,Utah,20,168892
1984,Virginia,20,938552
1984,Washington,20,78865
1984,West of Mississippi,20,5176308
1984,West_Virginia,20,3067130
1984,Western,20,4121794
1984,Wyoming,20,2180224
1984,Alabama,21,575527
1984,Alaska,21,16786
1984,Appalachia,21,10652963
1984,Arizona,21,275355
1984,Arkansas,21,2405
1984,Colorado,21,371240
1984,East of Mississippi,21,13720048
1984,Georgia,21,3820
1984,Illinois,21,1343420
1984,Indiana,21,829961
1984,Interior,21,4205542
1984,Iowa,21,9749
1984,Kansas,21,28017
1984,Kentucky-East,21,2808376
1984,Kentucky-Total,21,3702080
1984,Kentucky-West,21,893704
1984,Maryland,21,110950
1984,Missouri,21,147201
1984,Montana,21,523524
1984,New_Mexico,21,441962
1984,North_Dakota,21,344288
1984,Ohio,21,895231
1984,Oklahoma,21,96850
1984,Penn-Anthracite,21,95631
1984,Penn-Bituminous,21,1603962
1984,Penn-Total,21,1699593
1984,Tennessee,21,152228
1984,Texas,21,854235
1984,US Total,21,19532067
1984,Utah,21,249030
1984,Virginia,21,980920
1984,Washington,21,84810
1984,West of Mississippi,21,5812019
1984,West_Virginia,21,3426318
1984,Western,21,4673562
1984,Wyoming,21,2366567
1984,Alabama,22,498028
1984,Alaska,22,14812
1984,Appalachia,22,8692215
1984,Arizona,22,242980
1984,Arkansas,22,2338
1984,Colorado,22,331353
1984,East of Mississippi,22,11368489
1984,Georgia,22,3371
1984,Illinois,22,1234881
1984,Indiana,22,676515
1984,Interior,22,3691409
1984,Iowa,22,8602
1984,Kansas,22,30712
1984,Kentucky-East,22,2403554
1984,Kentucky-Total,22,3168432
1984,Kentucky-West,22,764878
1984,Maryland,22,83110
1984,Missouri,22,115153
1984,Montana,22,573880
1984,New_Mexico,22,374284
1984,North_Dakota,22,360049
1984,Ohio,22,705268
1984,Oklahoma,22,104535
1984,Penn-Anthracite,22,80794
1984,Penn-Bituminous,22,1354454
1984,Penn-Total,22,1435248
1984,Tennessee,22,130016
1984,Texas,22,753795
1984,US Total,22,17074338
1984,Utah,22,217819
1984,Virginia,22,771965
1984,Washington,22,74838
1984,West of Mississippi,22,5705849
1984,West_Virginia,22,2661655
1984,Western,22,4690714
1984,Wyoming,22,2500699
1984,Alabama,23,558876
1984,Alaska,23,16696
1984,Appalachia,23,9828841
1984,Arizona,23,273884
1984,Arkansas,23,2652
1984,Colorado,23,376469
1984,East of Mississippi,23,12902699
1984,Georgia,23,3799
1984,Illinois,23,1403396
1984,Indiana,23,816773
1984,Interior,23,4207025
1984,Iowa,23,9696
1984,Kansas,23,29617
1984,Kentucky-East,23,2682636
1984,Kentucky-Total,23,3536325
1984,Kentucky-West,23,853689
1984,Maryland,23,98746
1984,Missouri,23,138552
1984,Montana,23,553432
1984,New_Mexico,23,452620
1984,North_Dakota,23,363929
1984,Ohio,23,837796
1984,Oklahoma,23,102982
